no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;268.72
1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;775.68
1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;652.373333333333
1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;1;556.34
1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;1;555.18
1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;1;645.38
1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;644.033333333333
1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;612.97
1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;612.643333333333
1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;604.123333333333
1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;511.153333333333
1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;509.37
1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;721.563333333333
1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;712.916666666667
1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;587.773333333333
1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;581.513333333333
1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;556.306666666667
1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;731.353333333333
1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;616.61
1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;705.213333333333
1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;1;780.756666666667
1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;1;652.433333333333
1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;1;666.493333333333
1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;1;645.303333333333
1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;607.033333333333
1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;260.41
1;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;809.5
1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;279.153333333333
1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;665.23
1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;644.356666666667
1;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;261.206666666667
1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;651.286666666667
1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;555.26
1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;643.983333333333
1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;291.61
1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;290.916666666667
1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;276.026666666667
1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;275.47
