polly_vectorizer;none;polly;polly_parallel;parallel;parallel_force;polly_no_tiling;polly_delinearize;polly_dependences_analysis_type;value_based;memory_based;polly_opt_fusion;min;max;polly_opt_simplify_deps;pollyrtcmaxparameters;pollyrtcmaxparameters_1;pollyrtcmaxparameters_2;pollyrtcmaxparameters_4;pollyrtcmaxparameters_8;pollyrtcmaxparameters_16;pollyoptmaxconstantterm;pollyoptmaxconstantterm_1;pollyoptmaxconstantterm_10;pollyoptmaxconstantterm_100;pollyoptmaxconstantterm_1000;pollyoptmaxconstantterm_10000;pollyoptmaxcoefficient;pollyoptmaxcoefficient_1;pollyoptmaxcoefficient_10;pollyoptmaxcoefficient_100;pollyoptmaxcoefficient_1000;pollyoptmaxcoefficient_10000;pollydefaulttilesize;pollydefaulttilesize_4;pollydefaulttilesize_16;pollydefaulttilesize_64;pollydefaulttilesize_256;pollydefaulttilesize_1024;Performance
1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;24.13
1;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;6.36
1;0;1;1;0;1;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;6.56
1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;29.19
1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;30.9033333333333
1;0;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;8.15666666666667
1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;29.3933333333333
1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;28.5966666666667
1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.48333333333333
1;0;1;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;28.3833333333333
1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;23.7933333333333
1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;30.86
1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;31.0066666666667
1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;30.6933333333333
1;1;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;31.07
1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;29.7333333333333
1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;29.1766666666667
1;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;29.2433333333333
1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0;30.7333333333333
1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;7.55666666666667
1;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;29.3933333333333
1;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;18.57
1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;30.8133333333333
1;0;1;0;0;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;23.8
