filterOff;HeaderCompressionOff;mtOff;CompressionMethod;LZMA;LZMA2;PPMd;BZip2;Deflate;tmOff;Files;Files_0;Files_10;Files_20;Files_30;Files_40;Files_50;Files_60;Files_70;Files_80;Files_90;Files_100;BlockSize;BlockSize_1;BlockSize_2;BlockSize_4;BlockSize_8;BlockSize_16;BlockSize_32;BlockSize_64;BlockSize_128;BlockSize_256;BlockSize_512;BlockSize_1024;BlockSize_2048;BlockSize_4096;x;x_0;x_2;x_4;x_6;x_8;x_10;Performance
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3370
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3220
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3260
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3610
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3180
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3200
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3200
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3220
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3960
0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3210
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3240
0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3200
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3210
0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;3220
0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;3230
0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;3240
